rbi_class_code,rbi_class_name,manning_n,N,manning
Kantor Bupati,Kantor Bupati,0.12,0.12,0.12
Kantor Wali Kota,Kantor Wali Kota,0.12,0.12,0.12
Kantor Bank,Kantor Bank,0.12,0.12,0.12
Pembangkit Listrik Tenaga Air,Pembangkit Listrik Tenaga Air,0.1,0.1,0.1
Makam,Makam,0.04,0.04,0.04
Pengolahan Bahan Bakar Gas,Pengolahan Bahan Bakar Gas,0.12,0.12,0.12
Tagalan/Ladang,Tagalan/Ladang,0.045,0.045,0.045
ARENAOLAHRAGA,ARENAOLAHRAGA,0.08,0.08,0.08
Vihara,Vihara,0.12,0.12,0.12
Kantor PAM,Kantor PAM,0.12,0.12,0.12
Pendidikan Menengah Kejuruan,Pendidikan Menengah Kejuruan,0.12,0.12,0.12
Lapangan,Lapangan,0.035,0.035,0.035
Hutan lahan tinggi primer kerapatan tinggi,Hutan Primer Tinggi,0.14,0.14,0.14
